,wind_speed_mps,wave_height_m
t1099,3.637233333,0.48
t1100,4.44325,0.49
t1101,4.036166667,0.46
t1102,4.7945,0.4
t1103,5.314033333,0.42
t1104,5.411616667,0.4
t1105,5.6297,0.41
t1106,6.2503,0.44
t1107,5.841116667,0.44
t1108,4.324383333,0.49
t1109,4.247616667,0.51
t1110,4.222966667,0.54
t1111,3.984283333,0.5
t1112,4.351766667,0.46
t1113,4.312466667,0.45
t1114,4.3932,0.46
t1115,3.970666667,0.43
t1116,5.181666667,0.45
t1117,6.211083333,0.45
t1118,6.754633333,0.45
t1119,7.650633333,0.46
t1120,7.28095,0.5
t1121,6.902783333,0.51
t1122,7.6464,0.46
t1123,8.7609,0.56
t1124,10.95548333,0.57
t1125,12.56041667,0.71
t1126,14.02601667,0.84
t1127,15.85646667,1.17
t1128,18.0564,1.41
t1129,18.78721667,1.97
t1130,18.53228333,2.26
t1131,18.45071667,2.45
t1132,17.38675,2.71
t1133,18.3825,2.77
t1134,19.06578333,3.05
t1135,19.69723333,3.57
t1136,18.161,3.53
t1137,18.55236667,3.62
t1138,17.053,3.77
t1139,17.23893333,3.8
t1140,15.61513333,3.22
t1141,14.90398333,3.29
t1142,14.35286667,3.37
t1143,14.11786667,2.76
t1144,13.33591667,3.04
t1145,12.72825,3.23
t1146,12.6593,2.93
t1147,12.1611,3.01
t1148,11.0518,2.95
t1149,10.40976667,3.1
t1150,10.11995,2.83
t1151,10.69301667,2.62
t1152,10.86885,2.86
t1153,10.25226667,2.87
t1154,9.376033333,2.42
t1155,7.68375,2.36
t1156,7.897283333,2.47
t1157,6.9104,2.6
t1158,6.27235,2.38
t1159,6.792166667,2.16
t1160,6.916166667,2.06
t1161,6.43925,2.13
t1162,7.009266667,2.12
t1163,7.068316667,2.16
t1164,7.012533333,2.05
t1165,6.880683333,1.87
t1166,7.420783333,1.89
t1167,5.787533333,2.06
t1168,5.454833333,1.94
t1169,5.5002,1.64
t1170,6.426733333,1.7
t1171,7.199083333,1.81
t1172,8.8701,1.89
t1173,10.00436667,1.72
t1174,9.73135,1.47
t1175,11.18245,1.59
t1176,12.57883333,1.46
t1177,13.32946667,1.63
t1178,12.42486667,1.92
t1179,13.9375,1.84
t1180,14.01935,1.9
t1181,15.29953333,1.74
t1182,15.43198333,1.68
t1183,10.76873333,1.83
t1184,11.05385,1.6
t1185,10.69508333,1.54
t1186,10.95303333,1.43
t1187,11.16668333,1.43
t1188,11.86015,1.4
t1189,13.7356,1.54
t1190,12.7184,1.66
t1191,10.73491667,1.7
t1192,11.80318333,1.62
t1193,9.9253,1.41
t1194,10.79806667,1.37
t1195,10.9827,1.24
t1196,9.9942,1.22
t1197,9.5504,1.15
t1198,9.041733333,1.17
t1199,8.189683333,1.14
t1200,9.512516667,1.05
t1201,9.35915,1.11
t1202,9.353866667,1.04
t1203,8.7552,1.02
t1204,7.621733333,1.08
t1205,8.899316667,1
t1206,7.74805,0.86
t1207,7.493133333,0.9
t1208,6.796966667,0.9
t1209,6.226316667,0.9
t1210,5.599316667,0.76
t1211,5.3444,0.78
t1212,4.0425,0.74
t1213,3.149816667,0.67
t1214,2.866016667,0.71
t1215,1.922133333,0.66
t1216,0.9325,0.68
t1217,0.660016667,0.73
t1218,0.837516667,0.74
t1219,2.42985,0.67
t1220,3.581266667,0.69
t1221,3.585066667,0.65
t1222,3.683766667,0.64
t1223,4.30145,0.61
t1224,5.080466667,0.6
t1225,5.579633333,0.6
t1226,5.239083333,0.62
t1227,5.52305,0.67
t1228,6.103583333,0.72
t1229,6.801733333,0.75
t1230,6.615466667,0.67
t1231,5.722533333,0.69
t1232,5.258733333,0.66
t1233,4.08575,0.66
t1234,2.9187,0.57
t1235,2.1658,0.61
t1236,1.541266667,0.64
t1237,1.17495,0.56
t1238,1.819366667,0.56
t1239,2.139566667,0.62
t1240,2.655016667,0.63
t1241,2.1772,0.63
t1242,2.2512,0.65
t1243,3.153233333,0.61
t1244,3.94795,0.6
t1245,4.185183333,0.6
t1246,4.2256,0.52
t1247,4.588466667,0.55
t1248,5.3924,0.59
t1249,6.2015,0.53
t1250,7.4766,0.53
t1251,9.056833333,0.47
t1252,9.970066667,0.55
t1253,9.133833333,0.52
t1254,8.711,0.54
t1255,8.1485,0.56
t1256,6.753133333,0.56
t1257,5.146483333,0.54
t1258,5.866866667,0.55
t1259,5.190133333,0.49
t1260,7.139616667,0.54
t1261,8.198783333,0.5
t1262,9.794533333,0.62
t1263,10.03458333,0.73
t1264,8.883483333,0.86
t1265,8.4425,0.88
t1266,7.820816667,0.9
t1267,7.774116667,0.89
t1268,7.724733333,0.85
t1269,7.057833333,0.87
t1270,6.621716667,0.84
t1271,7.5509,0.8
t1272,7.9047,0.82
t1273,8.6638,0.82
t1274,8.497333333,0.79
t1275,8.248733333,0.83
t1276,8.228383333,0.79
t1277,9.092583333,0.79
t1278,9.395416667,0.77
t1279,11.4577,0.8
t1280,12.5512,0.92
t1281,13.64875,1.04
t1282,14.62591667,1.16
t1283,14.96501667,1.41
t1284,15.47951667,1.44
t1285,16.84831667,1.68
t1286,17.25843333,1.81
t1287,18.28681667,2.07
t1288,19.25368333,2.07
t1289,21.16648333,2.14
t1290,20.64383333,2.24
t1291,20.882,2.4
t1292,21.83861667,2.22
t1293,21.05118333,2.2
t1294,15.56893333,2.35
t1295,14.33791667,2.34
t1296,11.41693333,1.45
t1297,8.645983333,1.55
t1298,8.996383333,1.55
t1299,9.0052,1.4
t1300,9.50925,1.37
t1301,9.61575,1.24
t1302,7.315683333,1.28
t1303,4.731716667,1.35
t1304,4.374083333,1.25
t1305,2.527116667,1.44
t1306,2.5462,1.36
t1307,2.9007,1.27
t1308,2.9007,1.23
t1309,7.3899,1.26
t1310,8.226,1.24
t1311,8.296133333,1.24
t1312,7.204266667,1.29
t1313,6.32865,1.34
t1314,6.19975,1.28
t1315,6.838133333,1.29
t1316,8.032133333,1.27
t1317,7.414416667,1.44
t1318,8.5701,1.28
t1319,10.83243333,1.43
t1320,14.90161667,1.28
t1321,15.85215,1.46
t1322,17.27638333,1.32
t1323,18.12071667,1.54
t1324,18.51715,1.72
t1325,18.74733333,1.67
t1326,18.84251667,1.91
t1327,18.56923333,1.81
t1328,18.99653333,1.94
t1329,18.9516,1.89
t1330,19.34861667,2.04
t1331,20.75498333,2.21
t1332,22.2074,2.46
t1333,23.76781667,2.65
t1334,23.17226667,2.78
t1335,23.14105,2.78
t1336,24.47093333,2.99
t1337,24.9901,3.27
t1338,24.77343333,3.24
t1339,24.82996667,3.54
t1340,24.8916,3.94
t1341,23.9216,4.28
t1342,22.47306667,3.67
t1343,18.63816667,3.76
t1344,19.13161667,3.76
t1345,7.867266667,1.24
t1346,7.38655,1.07
t1347,6.251033333,1.08
t1348,5.6649,1.14
t1349,4.87215,1.3
t1350,4.42955,1.47
t1351,6.113383333,1.52
t1352,7.160666667,1.68
t1353,11.55866667,2.03
t1354,12.24248333,2.09
t1355,12.34185,2.07
t1356,13.30641667,1.97
t1357,15.24875,2.09
t1358,14.53258333,2.24
t1359,15.74543333,2.3
t1360,16.72476667,2.32
t1361,17.95936667,2.41
t1362,18.05725,2.46
t1363,18.00291667,2.81
t1364,16.29663333,2.72
t1365,14.98378333,2.06
t1366,13.40155,1.96
t1367,11.34171667,1.83
t1368,9.830883333,1.71
t1369,8.94265,1.31
t1370,10.13216667,1.23
t1371,12.34941667,1.31
t1372,13.4141,1.38
t1373,14.5035,1.56
t1374,15.52193333,1.6
t1375,16.0978,1.89
t1376,17.61795,2.25
t1377,17.73418333,2.47
t1378,17.6179,2.56
t1379,17.88588333,2.51
t1380,19.62228333,2.54
t1381,19.65451667,2.83
t1382,18.42651667,2.96
t1383,16.92161667,2.86
t1384,17.9003,2.8
t1385,19.29255,2.84
t1386,17.86108333,2.93
t1387,18.08771667,2.6
t1388,17.26598333,2.55
t1389,15.31995,2.47
t1390,14.24255,2.35
t1391,13.95503333,2.11
t1392,13.6249,2.12
t1393,13.46,1.87
t1394,12.2238,1.81
t1395,12.34915,1.57
t1396,12.70368333,1.6
t1397,12.71256667,1.55
t1398,12.63711667,1.55
t1399,12.81118333,1.71
t1400,12.18685,1.63
t1401,12.11808333,1.46
t1402,12.8064,1.48
t1403,12.75743333,1.62
t1404,11.05826667,1.49
t1405,10.0686,1.37
t1406,10.28241667,1.24
t1407,9.184366667,1.2
t1408,9.60005,1.27
t1409,10.63168333,1.2
t1410,10.386,1.32
t1411,10.66638333,1.26
t1412,10.37125,1.37
t1413,10.48576667,1.39
t1414,10.63993333,1.32
t1415,10.2734,1.32
t1416,9.530116667,1.33
t1417,9.6547,1.19
t1418,8.975216667,1.11
t1419,9.407683333,1.05
t1420,9.341016667,1.01
t1421,9.459766667,0.97
t1422,10.0016,1.1
t1423,10.40206667,1.16
t1424,9.8769,1.18
t1425,10.15065,1.18
t1426,9.282,1.27
t1427,9.169166667,1.11
t1428,8.933933333,1.04
t1429,8.3171,1.06
t1430,6.76955,0.98
t1431,5.998616667,0.89
t1432,5.517833333,0.87
t1433,4.893083333,0.79
t1434,5.311666667,0.69
t1435,5.079933333,0.68
t1436,4.240316667,0.65
t1437,2.767533333,0.59
t1438,1.843533333,0.63
t1439,1.963633333,0.58
t1440,1.084283333,0.52
t1441,1.5316,0.51
t1442,1.907333333,0.5
t1443,2.525633333,0.45
t1444,2.731933333,0.44
t1445,2.1789,0.42
t1446,1.73345,0.45
t1447,1.3575,0.47
t1448,1.635816667,0.46
t1449,2.85175,0.43
t1450,0.902016667,0.42
t1451,1.99045,0.48
t1452,3.020466667,0.45
t1453,3.038183333,0.45
t1454,4.499216667,0.45
t1455,6.395066667,0.47
t1456,6.29525,0.48
t1457,6.468233333,0.52
t1458,5.893583333,0.6
t1459,5.4262,0.55
t1460,4.61575,0.53
t1461,5.37285,0.52
t1462,5.629866667,0.51
t1463,5.477983333,0.47
t1464,5.69835,0.53
t1465,6.617216667,0.51
t1466,7.704483333,0.58
t1467,9.080983333,0.67
t1468,9.3506,0.76
t1469,8.460716667,0.83
t1470,6.984383333,0.79
t1471,7.048983333,0.72
t1472,8.383683333,0.68
t1473,10.02155,0.83
t1474,10.08245,0.91
t1475,10.89715,1.1
t1476,10.6979,1.1
t1477,9.808533333,1.05
t1478,8.699883333,0.97
t1479,8.213666667,0.87
t1480,8.185633333,0.8
t1481,7.896416667,0.77
t1482,8.7643,0.74
t1483,8.21405,0.71
t1484,8.385466667,0.7
t1485,8.247716667,0.75
t1486,7.040316667,0.69
t1487,6.633766667,0.67
t1488,6.7979,0.65
t1489,7.360883333,0.62
t1490,5.758816667,0.58
t1491,6.321033333,0.57
t1492,7.2355,0.55
t1493,7.012766667,0.6
t1494,7.295933333,0.6
t1495,7.973633333,0.58
t1496,9.839783333,0.67
t1497,11.27828333,0.73
t1498,11.1883,0.75
t1499,10.98303333,0.73
t1500,10.83611667,0.77
t1501,11.52963333,0.77
t1502,11.45445,0.77
t1503,11.5694,0.8
t1504,11.56905,0.79
t1505,10.70545,0.76
t1506,10.78031667,0.78
t1507,10.52346667,0.71
t1508,10.8629,0.81
t1509,12.59675,0.95
t1510,13.42455,1
t1511,13.67823333,1.38
t1512,13.51321667,1.42
t1513,12.76401667,1.7
t1514,11.83658333,1.68
t1515,11.12986667,1.72
t1516,10.41743333,1.55
t1517,9.461466667,1.56
t1518,10.0342,1.33
t1519,9.96645,1.46
t1520,9.311983333,1.3
t1521,8.7807,1.2
t1522,7.422983333,1.16
t1523,6.887533333,1.07
t1524,6.934816667,1.05
t1525,7.088283333,0.92
t1526,6.6875,0.9
t1527,6.66875,0.91
t1528,5.9504,0.88
t1529,5.290633333,0.96
t1530,4.932016667,0.94
t1531,4.12705,0.9
t1532,3.973566667,0.96
t1533,4.594233333,0.97
t1534,4.274266667,0.93
t1535,3.598833333,0.93
t1536,3.217366667,0.92
t1537,2.313183333,0.93
t1538,2.353916667,1.01
t1539,1.529483333,0.99
t1540,1.263633333,0.94
t1541,1.12635,0.98
t1542,0.898983333,1.07
t1543,1.1236,0.99
t1544,1.517383333,1.02
t1545,2.086616667,1.01
t1546,2.0268,1.01
t1547,3.3797,0.99
t1548,3.702866667,1.1
t1549,3.35095,1.07
t1550,2.910416667,1.05
t1551,1.988916667,1.09
t1552,2.410816667,1.05
t1553,1.832866667,0.96
t1554,1.828166667,1.09
t1555,2.387366667,0.97
t1556,2.27675,0.96
t1557,2.195816667,0.92
t1558,2.631083333,0.97
t1559,3.011083333,0.92
t1560,3.66525,0.86
t1561,3.438533333,0.85
t1562,3.665466667,0.84
t1563,3.37135,0.84
t1564,4.277,0.85
t1565,4.366216667,0.89
t1566,3.915016667,0.91
t1567,5.434883333,0.9
t1568,7.8979,0.94
t1569,9.202366667,1.02
t1570,9.38355,1.18
t1571,8.009766667,1.3
t1572,7.9928,1.33
t1573,7.646983333,1.3
t1574,7.901466667,1.25
t1575,7.346616667,1.3
t1576,7.9424,1.2
t1577,7.84615,1.17
t1578,7.60125,1.17
t1579,6.667983333,1.2
t1580,5.737783333,1.24
t1581,5.082833333,1.18
t1582,4.42425,1.02
t1583,4.661866667,1.08
t1584,5.0508,1
t1585,5.169116667,0.99
t1586,5.326716667,0.98
t1587,6.780083333,0.91
t1588,8.392316667,0.89
t1589,8.45945,0.95
t1590,9.734533333,0.86
t1591,9.586016667,0.79
t1592,9.83305,0.81
t1593,10.83226667,0.89
t1594,10.8187,0.9
t1595,10.42186667,0.8
t1596,10.33801667,0.77
t1597,10.79683333,0.76
t1598,10.9452,0.76
t1599,9.475816667,0.77
t1600,9.15765,0.71
t1601,10.17288333,0.75
t1602,9.128383333,0.73
t1603,8.32795,0.73
t1604,7.630066667,0.74
t1605,7.235916667,0.75
t1606,7.600716667,0.76
t1607,10.05673333,0.77
t1608,7.483083333,0.78
t1609,6.341733333,0.74
t1610,6.02055,0.67
t1611,6.217166667,0.67
t1612,6.276266667,0.65
t1613,6.313716667,0.67
t1614,5.18825,0.66
t1615,4.31085,0.64
t1616,2.952216667,0.57
t1617,2.262933333,0.55
t1618,2.7466,0.56
t1619,2.8213,0.57
t1620,2.839966667,0.6
t1621,2.956533333,0.57
t1622,3.970133333,0.54
t1623,3.812083333,0.56
t1624,4.062233333,0.55
t1625,3.879683333,0.53
t1626,3.133483333,0.51
t1627,2.376483333,0.52
t1628,2.330116667,0.52
t1629,2.4663,0.54
t1630,1.5327,0.48
t1631,1.95035,0.53
t1632,4.872666667,0.47
t1633,5.3711,0.48
t1634,6.903,0.5
t1635,5.956116667,0.54
t1636,6.971183333,0.54
t1637,7.229066667,0.58
t1638,7.714983333,0.58
t1639,7.8674,0.64
t1640,9.520716667,0.67
t1641,9.933083333,0.69
t1642,9.753083333,0.78
t1643,10.84283333,0.86
t1644,11.97408333,0.97
t1645,12.64026667,1.1
t1646,13.13513333,1.17
t1647,13.32491667,1.28
t1648,14.28591667,1.16
t1649,12.2021,1.21
t1650,12.9949,1.11
t1651,14.45406667,1.07
t1652,17.51125,1.14
t1653,17.49721667,1.14
t1654,16.99768333,1.12
t1655,14.80366667,1.12
t1656,10.5957,1.09
t1657,10.5957,1.24
t1658,10.5957,1.29
t1659,10.5957,1.68
t1660,10.5957,2.03
t1661,11.0843,2.43
t1662,12.02288333,2.84
t1663,11.6259,3.18
t1664,11.6259,3.25
t1665,11.6259,3.14
t1666,11.6259,3.14
t1667,11.6685,3.2
t1668,12.38765,2.91
t1669,12.63851667,3.15
t1670,14.14653333,3.26
t1671,13.32933333,3.26
t1672,11.24815,3.05
t1673,11.02003333,2.91
t1674,11.80943333,2.95
t1675,9.667733333,2.9
t1676,7.5313,2.75
t1677,7.410466667,2.82
t1678,8.1689,2.53
t1679,7.224866667,2.4
t1680,4.726833333,2.43
t1681,5.079633333,2.53
t1682,6.772083333,2.24
t1683,6.866916667,2.02
t1684,7.8795,1.97
t1685,7.454633333,2.02
t1686,9.713333333,2.06
t1687,9.021283333,1.83
t1688,9.784966667,2.07
t1689,9.727133333,1.81
t1690,10.19863333,1.76
t1691,11.19336667,1.75
t1692,12.6845,1.75
t1693,13.98643333,1.62
t1694,12.4059,1.71
t1695,13.59036667,1.57
t1696,12.87765,1.61
t1697,13.10998333,1.64
t1698,12.80833333,1.68
t1699,13.70371667,1.63
t1700,14.78411667,1.85
t1701,13.60236667,1.74
t1702,11.72941667,1.73
t1703,10.8464,1.35
t1704,12.97176667,1.52
t1705,12.87248333,1.67
t1706,12.55846667,1.74
t1707,12.74666667,1.72
t1708,14.57411667,1.74
t1709,14.555,1.67
t1710,14.52981667,1.8
t1711,12.37226667,1.85
t1712,12.3418,1.67
t1713,12.13486667,1.72
t1714,11.31936667,1.5
t1715,9.923533333,1.41
t1716,9.268566667,1.28
t1717,8.214633333,1.19
t1718,7.934366667,1.01
t1719,7.5432,0.89
t1720,6.194033333,0.81
t1721,5.7703,0.76
t1722,6.0643,0.68
t1723,6.207766667,0.66
t1724,7.473433333,0.62
t1725,7.2966,0.65
t1726,5.872216667,0.59
t1727,5.59735,0.58
t1728,5.90245,0.53
t1729,5.743516667,0.52
t1730,7.922266667,0.54
t1731,8.368283333,0.62
t1732,9.298483333,0.66
t1733,10.59766667,0.77
t1734,11.33253333,0.88
t1735,11.65555,0.97
t1736,13.46578333,1.25
t1737,15.33681667,1.44
t1738,14.39511667,1.59
t1739,14.16131667,1.72
t1740,14.41478333,1.78
t1741,13.64016667,1.65
t1742,13.78345,1.73
t1743,13.56673333,1.52
t1744,13.56121667,1.61
t1745,12.52993333,1.65
t1746,12.49123333,1.64
t1747,11.69158333,1.71
t1748,11.5434,1.68
t1749,11.20776667,1.84
t1750,10.00426667,1.84
t1751,11.16456667,1.93
t1752,11.41581667,1.84
t1753,11.69361667,1.85
t1754,12.02383333,1.92
t1755,11.57661667,1.84
t1756,11.08056667,1.6
t1757,8.563033333,1.39
t1758,6.732966667,1.34
t1759,6.384416667,1.18
t1760,5.3217,1.04
t1761,5.2161,0.92
t1762,5.016066667,0.86
t1763,5.543216667,0.82
t1764,5.333583333,0.75
t1765,4.455983333,0.78
t1766,4.208516667,0.78
t1767,4.41075,0.79
t1768,3.773316667,1.05
t1769,4.151733333,1.23
t1770,4.70165,1.33
t1771,5.3371,1.27
t1772,6.020816667,1.19
t1773,7.1735,1.05
t1774,8.791283333,1.11
t1775,8.9806,1.03
t1776,8.9806,1.1
t1777,8.9806,1.08
t1778,13.3764,1.08
t1779,13.5081,1.02
t1780,13.48553333,1.17
t1781,13.4626,1.18
t1782,13.4626,1.23
t1783,13.4626,1.37
t1784,7.095716667,1.37
t1785,4.31755,1.47
t1786,7.234866667,1.38
t1787,8.898716667,1.26
t1788,11.78315,1.13
t1789,14.39298333,1.43
t1790,15.46538333,1.69
t1791,16.81225,1.85
t1792,17.79901667,2.06
t1793,18.0918,2.22
t1794,20.30015,2.52
t1795,21.23216667,2.67
t1796,21.18631667,2.88
t1797,21.70216667,3.18
t1798,19.9932,3.17
t1799,18.97388333,2.97
t1800,19.01286667,2.56
t1801,16.61928333,2.62
t1802,15.48045,2.62
t1803,16.59743333,2.42
t1804,16.1215,2.51
t1805,14.53998333,2.35
t1806,14.04011667,2.08
t1807,13.87208333,1.84
t1808,13.30166667,1.79
t1809,13.77171667,1.61
t1810,13.66786667,1.79
t1811,12.18301667,1.81
t1812,11.7296,1.68
t1813,9.7896,1.62
t1814,8.785433333,1.36
t1815,8.112716667,1.28
t1816,8.356833333,1.13
t1817,6.53005,1.01
t1818,5.611016667,0.92
t1819,5.68405,0.76
t1820,7.08735,0.73
t1821,7.093283333,0.7
t1822,8.38755,0.77
t1823,9.928416667,0.85
t1824,11.02038333,0.96
t1825,11.12081667,1.06
t1826,10.5009,1.12
t1827,11.21118333,1.11
t1828,10.01403333,1
t1829,7.584483333,0.88
t1830,5.2832,0.86
t1831,5.244633333,0.74
t1832,6.2993,0.72
t1833,8.9881,0.67
t1834,10.97543333,0.77
t1835,10.49061667,0.9
t1836,11.3046,0.96
t1837,13.51701667,1.12
t1838,12.8694,1.14
t1839,12.08806667,1.23
t1840,10.78616667,1.25
t1841,9.3249,1.02
t1842,9.16565,1.02
t1843,8.788433333,0.98
t1844,7.815316667,0.89
t1845,5.884133333,0.78
t1846,4.5793,0.71
t1847,3.652216667,0.65
t1848,2.6766,0.66
t1849,1.947,0.59
t1850,1.853183333,0.57
t1851,2.87825,0.55
t1852,4.9015,0.54
t1853,7.042116667,0.52
t1854,9.602216667,0.55
t1855,11.05678333,0.66
t1856,7.962666667,0.85
t1857,7.092416667,0.78
t1858,10.90865,0.83
t1859,14.24131667,1.05
t1860,16.41038333,1.15
t1861,15.2634,1.58
t1862,14.0255,1.75
t1863,12.62883333,1.73
t1864,12.3718,1.46
t1865,12.44343333,1.53
t1866,11.22586667,1.54
t1867,11.89758333,1.61
t1868,13.23085,1.63
t1869,14.10901667,1.83
t1870,14.93113333,1.93
t1871,15.31773333,1.97
t1872,15.7172,1.92
t1873,15.92265,1.92
t1874,14.35571667,0.92
t1875,14.4589,0.92
t1876,16.40155,0.91
t1877,18.36793333,1.12
t1878,18.00705,1.24
t1879,17.69126667,1.22
t1880,18.33543333,1.35
t1881,18.80738333,1.39
t1882,18.53268333,1.47
t1883,18.882,1.35
t1884,18.6583,1.26
t1885,17.96586667,1.26
t1886,17.38026667,1.27
t1887,18.73208333,1.14
t1888,18.3098,1.09
t1889,18.652,1.1
t1890,19.45931667,1.12
t1891,19.90603333,1.12
t1892,19.0886,1.14
t1893,18.5132,1.16
t1894,18.60008333,1.08
t1895,19.6926,1.1
t1896,19.50298333,1.09
t1897,19.13963333,1.04
t1898,18.94005,1.08
t1899,18.7321,1.12
t1900,18.66713333,1.15
t1901,18.32718333,1.21
t1902,19.65055,1.31
t1903,18.95108333,1.57
t1904,19.30056667,1.43
t1905,20.16855,1.61
t1906,20.29981667,1.72
t1907,21.10506667,1.59
t1908,20.54641667,1.85
t1909,20.20238333,1.8
t1910,21.69026667,1.94
t1911,22.14691667,2.08
t1912,22.53341667,2.57
t1913,21.90758333,2.45
t1914,24.04085,2.99
t1915,23.22995,2.88
t1916,22.55506667,2.61
t1917,24.73886667,2.65
t1918,25.33918333,3.17
t1919,25.40316667,3.69
t1920,25.1863,3.05
t1921,25.95341667,3.46
t1922,25.11356667,3.32
t1923,23.1761,3.52
t1924,19.9014,3.67
t1925,17.24075,3.25
t1926,16.25756667,3.44
t1927,16.86505,2.97
t1928,16.78423333,3
t1929,15.05353333,2.75
t1930,13.94948333,2.8
t1931,11.2233,2.9
t1932,9.221633333,2.38
t1933,9.7933,2.51
t1934,9.9129,2.1
t1935,9.476766667,2.32
t1936,10.56566667,2.09
t1937,8.891966667,2.13
t1938,10.01783333,1.93
t1939,11.00245,1.9
t1940,11.34071667,1.87
t1941,11.20396667,2.06
t1942,10.80096667,1.99
t1943,10.65571667,1.84
t1944,10.78618333,1.89
t1945,10.66875,1.81
t1946,10.95256667,1.94
t1947,10.7688,1.82
t1948,10.9048,1.79
t1949,10.40071667,1.65
t1950,9.40435,1.65
t1951,7.76435,1.53
t1952,5.123116667,1.62
t1953,4.146566667,1.45
t1954,5.644566667,1.49
t1955,5.026033333,1.51
t1956,4.505766667,1.6
t1957,4.9025,1.54
t1958,7.814633333,1.51
t1959,7.145566667,1.39
t1960,6.966466667,1.38
t1961,6.890716667,1.33
t1962,7.1762,1.16
t1963,5.973283333,1.29
t1964,5.054266667,1.27
t1965,6.085116667,1.25
t1966,5.890083333,1.15
t1967,5.7579,1.2
t1968,6.704816667,1.08
t1969,6.8903,1.16
t1970,8.323683333,1.1
t1971,8.569933333,1.21
t1972,7.753433333,1.32
t1973,8.60945,1.28
t1974,10.04566667,1.34
t1975,7.396333333,1.36
t1976,6.668,1.25
t1977,7.04025,1.31
t1978,6.19395,1.26
t1979,7.095583333,1.23
t1980,7.329466667,1.17
t1981,5.9045,1.25
t1982,5.29255,1.18
t1983,5.017866667,1.19
t1984,4.019616667,1.06
t1985,3.791383333,1.12
t1986,3.5799,1
t1987,4.2139,1.15
t1988,4.8479,0.99
t1989,7.5868,0.94
t1990,8.162233333,1.11
t1991,9.976083333,1.06
t1992,8.372766667,1.1
t1993,6.860883333,1.03
t1994,7.9534,1.03
t1995,7.914983333,1.05
t1996,8.57885,1
t1997,7.436166667,1
t1998,6.017516667,1.13
t1999,5.038766667,1.04
t2000,3.1771,1
t2001,4.206366667,0.95
t2002,2.574033333,0.86
t2003,2.157833333,0.87
t2004,2.295083333,0.86
t2005,4.123466667,0.83
t2006,4.279266667,0.76
t2007,4.778016667,0.77
t2008,6.994466667,0.74
t2009,8.295383333,0.76
t2010,9.427483333,0.78
t2011,10.73188333,0.8
t2012,10.7288,0.83
t2013,11.93623333,0.94
t2014,13.37751667,1.05
t2015,16.13611667,1.15
t2016,16.7441,1.25
t2017,15.38103333,1.35
t2018,13.0617,1.23
t2019,12.36318333,1.12
t2020,15.89905,1.25
t2021,16.83575,1.34
t2022,16.34456667,1.79
t2023,19.17251667,2.22
t2024,18.14231667,2.47
t2025,19.31173333,2.42
t2026,19.70906667,2.68
t2027,19.51486667,3.02
t2028,19.92903333,2.99
t2029,20.0992,2.96
t2030,19.12086667,2.79
t2031,16.54751667,2.59
t2032,16.672,2.38
t2033,21.94295,2.81
t2034,21.14071667,2.88
t2035,19.95076667,2.72
t2036,21.29615,3.03
t2037,20.79986667,2.93
t2038,20.14781667,3.43
t2039,18.8946,2.96
t2040,17.5994,2.98
t2041,19.13108333,3.08
t2042,19.00003333,3.1
t2043,18.7414,2.94
t2044,18.57605,3.13
t2045,18.17986667,2.61
t2046,17.38955,2.81
t2047,16.00083333,2.81
t2048,15.14543333,2.73
t2049,14.17951667,2.2
t2050,12.98205,2.09
t2051,12.72456667,1.83
t2052,12.45578333,1.71
t2053,12.72365,1.82
t2054,11.63026667,1.67
t2055,9.636566667,1.69
t2056,8.694683333,1.46
t2057,7.537916667,1.44
t2058,7.380616667,1.4
t2059,6.40775,1.36
t2060,5.50815,1.31
t2061,4.55625,1.17
t2062,5.270683333,1.18
t2063,4.320583333,1.19
t2064,3.802716667,1.11
t2065,3.2947,1.03
t2066,2.265616667,0.91
t2067,2.022533333,0.9
t2068,3.191,0.86
t2069,5.32155,0.78
t2070,8.874283333,0.78
t2071,7.6786,0.91
t2072,6.2672,0.85
t2073,8.6609,0.85
t2074,9.534533333,0.97
t2075,11.85635,1.08
t2076,11.38381667,1.28
t2077,13.67541667,1.45
t2078,17.25703333,1.63
t2079,18.79911667,1.83
t2080,16.35535,2.06
t2081,15.98853333,2.35
t2082,17.73243333,2.31
t2083,17.97165,2.51
t2084,19.97301667,2.47
t2085,19.14491667,2.78
t2086,17.92431667,2.74
t2087,13.60585,2.57
t2088,12.1222,2.57
t2089,10.40641667,2.57
t2090,8.566166667,2.72
t2091,7.745333333,2.38
t2092,7.418583333,2.43
t2093,9.292283333,2.21
t2094,11.50926667,2.32
t2095,11.65003333,2.18
t2096,12.37401667,2.2
t2097,12.62463333,2.22
t2098,12.67938333,2.43
t2099,12.45756667,2.09
t2100,13.82145,2.26
t2101,15.45955,2.17
t2102,15.7578,2.37
t2103,15.99545,2.44
t2104,15.96471667,2.49
t2105,15.63028333,2.67
t2106,15.89545,2.67
t2107,15.20615,2.47
t2108,14.42101667,2.57
t2109,13.9694,2.23
t2110,13.71818333,2.35
t2111,13.12921667,2.13
t2112,14.17813333,2.29
t2113,14.16093333,2.34
t2114,13.64906667,2.07
t2115,13.30265,2.09
t2116,12.61925,2.06
t2117,13.25943333,2.17
t2118,13.01841667,2.22
t2119,12.46398333,2.1
t2120,13.10388333,2.25
t2121,12.9021,1.78
t2122,12.13673333,1.86
t2123,11.12101667,1.8
t2124,11.31143333,1.7
t2125,11.12253333,1.69
